1,Taylor Swift,Everything Has Changed,4:12
2,Mumford and Sons,Little Lion Man,4:08
3,Hozier,Sedated,3:30
4,Mumford and Sons,Babel,4:05
5,Taylor Swift,I Knew You Were Trouble,3:40
6,Taylor Swift,We Are Never Ever Getting Back Together,3:16
7,Hozier,Jackie and Wilson,3:44
8,Hozier,Take Me To Church,4:02
9,Lily Allen,Not Fair,3:50
10,Hozier,Angel of Small Death & The Codeine Scene,3:34
11,Post Malone,Better Now,3:26
12,Miley Cyrus,Jolene,2:29
13,Florence + The Machine,Dog Days are Over,3:44
14,Rufus Wainwright,April Fools,4:03
15,Paul Simon,You Can Call me Al,4:35
16,Disturbed,The Sound of Silence,4:24
